"Deidentified subject id","gender","timezone","age","race","duration of data collection (days)"
"16451924-ac18-49cc-a372-fce0a7f0d7ab","Woman","America/Detroit",28,"White",117
"164f824d-9c51-4589-9bfd-22922daca3b5","Woman","America/Los_Angeles",23,"White",23
"16603edb-5388-4ad3-95c8-676e6b42dfab","Woman","America/Detroit",19,"White",130
"1693c06a-2650-4623-bd8e-5f30a0e6f10b","Woman","America/Chicago",53,"White",583
"16c3ee61-d353-444d-9fbe-464dba219d23","Woman","America/Detroit",26,"White",50
"16dbd67d-c003-4bac-a8ce-7b06cc4ef616","","America/Detroit",0,"",29
"16de08ca-dd2f-4b26-8e47-a0e4e6bfc339","","America/Detroit",7,"",104
"171e50db-b5bc-4fef-882f-d6bba2896151","","America/Detroit",0,"",20
"1754014e-074c-4b2d-8cc7-a930f0d12294","Man","America/Detroit",26,"White",12
"176c24cf-5e33-4b42-bc92-fee840a2f376","Man","America/Los_Angeles",61,"White",75
"1783f9c2-2ba9-403b-93f4-2eff121ec182","Man","America/New_York",48,"Hispanic",322
"17d1d285-f899-4278-8814-294b83ab210f","Woman","America/Chicago",21,"White",17
"17d6063e-0aba-4c4d-92be-eacd42ff2b2a","Woman","America/Detroit",18,"White",29
"17f433a1-6212-450e-bd69-c4f61ec12f14","Woman","America/Detroit",20,"White",40
"180072be-e3c8-4fc2-9a8f-5f7efc6ef503","Woman","America/Detroit",30,"Asian",11
"18052da1-b13c-4071-9188-9059abba55de","Woman","America/Detroit",21,"PacificIslander",12
"1841e86c-d195-411a-b629-3f44bf02dd79","Woman","America/Los_Angeles",21,"Hispanic",6
"185bb51c-e0dd-4db8-bea1-96a1fca9749d","Man","America/Detroit",20,"Asian",3
"1872ea77-eee3-475e-93f9-59afb1f1a4d4","Man","America/Detroit",21,"Asian",53
"18d3e698-729e-41ef-9a7a-499324452de2","Woman","America/Detroit",20,"Asian",17
"18d586ab-7d3f-45e2-ba42-06299b44d004","Woman","America/Menominee",19,"White",1
"18d956ef-bc5f-420d-8351-8f0c9788fd3d","Woman","America/Detroit",20,"White",15
"1905f938-6ef1-4a42-a566-1a23d0cedc0a","Woman","America/Detroit",22,"White",2
"1919685a-ba62-43c9-923e-cb8e67a91f89","Woman","America/Detroit",21,"Asian",40
"191b5a9c-dfd3-4efd-aff4-38c7ad529611","Man","America/New_York",23,"Asian",461
"193096ee-a6d7-43e5-ac3f-425791ee2fe4","Woman","America/Detroit",21,"White",5
"194f0f65-f8be-4df8-ba23-439a0681325a","Woman","America/New_York",23,"White",40
"195fd633-d8a1-4a97-b21d-3ba38da1b81b","Woman","America/New_York",21,"White",6
"1970bcda-c2cf-4ebd-bb68-9646a991e9ae","Woman","America/Detroit",20,"Hispanic",60
"1987407e-8080-4ff8-8d1f-3c8adea074c3","Man","America/New_York",19,"White",4
"19e62d7c-bf1e-4c38-9b65-39b4dafa942a","Man","Europe/Moscow",57,"White",501
"1a3c39e9-f753-471f-9468-1b0e8a89c2be","Man","America/New_York",21,"Asian",26
"1a64fe29-5bac-49e5-9dfe-c4932a233c8f","Man","America/Detroit",18,"White",18
"1a8ccb37-2a85-488f-9b17-aae334231d62","Man","America/Chicago",58,"White",681
"1a997b70-9969-427b-8076-ad5cd5d18e63","Man","America/Detroit",25,"Asian",58
"1abc6833-19be-453d-b69a-b21c244b6fc6","Woman","America/Detroit",19,"Hispanic",48
"1ac15904-e5c2-4714-bfb0-c9132eaa033f","Man","America/Detroit",19,"White",28
"1ad2b0dc-3a21-4e2d-ab39-15d877e037a4","Woman","America/New_York",21,"Asian",14
"1b24918b-a403-4b34-8471-d6015f324e67","Woman","America/New_York",19,"White",65
"1b40ef99-9ac5-4bc3-a935-b4a15fa7885d","Woman","Europe/Berlin",48,"White",235
